TransactionID,CustomerID,CustomerName,PurchaseDate,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod,City
T0001,C001,Aarav Sharma,2026-03-24,Clothing,Jeans,1,30,30,UPI,Mumbai
T0002,C001,Aarav Sharma,2026-04-04,Home,Bottle,5,50,250,UPI,Mumbai
T0003,C001,Aarav Sharma,2026-01-23,Beauty,Shampoo,1,50,50,UPI,Mumbai
T0004,C001,Aarav Sharma,2026-05-22,Beauty,Face Wash,5,30,150,Credit Card,Mumbai
T0005,C001,Aarav Sharma,2026-06-11,Home,Bottle,5,500,2500,Cash,Mumbai
T0006,C001,Aarav Sharma,2026-01-13,Clothing,T-Shirt,5,40,200,Debit Card,Mumbai
T0007,C001,Aarav Sharma,2026-04-18,Clothing,T-Shirt,5,75,375,Credit Card,Mumbai
T0008,C001,Aarav Sharma,2026-01-27,Home,Bottle,3,30,90,UPI,Mumbai
T0009,C002,Vivaan Sharma,2026-05-25,Electronics,Headphones,2,200,400,Cash,Pune
T0010,C002,Vivaan Sharma,2026-03-22,Beauty,Shampoo,3,75,225,Credit Card,Pune
T0011,C002,Vivaan Sharma,2026-02-16,Clothing,T-Shirt,5,75,375,Cash,Pune
T0012,C002,Vivaan Sharma,2026-03-29,Beauty,Shampoo,5,30,150,UPI,Pune
T0013,C002,Vivaan Sharma,2026-05-12,Beauty,Face Wash,3,40,120,Cash,Pune
T0014,C002,Vivaan Sharma,2026-04-18,Electronics,Headphones,1,300,300,Debit Card,Pune
T0015,C002,Vivaan Sharma,2026-03-29,Grocery,Tea,5,200,1000,UPI,Pune
T0016,C002,Vivaan Sharma,2026-01-24,Grocery,Tea,1,20,20,Debit Card,Pune
T0017,C003,Aditya Sharma,2026-06-15,Home,Mixer,3,150,450,Debit Card,Delhi
T0018,C003,Aditya Sharma,2026-01-06,Beauty,Shampoo,2,500,1000,UPI,Delhi
T0019,C003,Aditya Sharma,2026-05-07,Electronics,Mouse,3,40,120,Credit Card,Delhi
T0020,C003,Aditya Sharma,2026-04-12,Beauty,Shampoo,1,40,40,Cash,Delhi
T0021,C003,Aditya Sharma,2026-04-13,Home,Mixer,2,150,300,Debit Card,Delhi
T0022,C003,Aditya Sharma,2026-06-30,Beauty,Shampoo,4,50,200,Credit Card,Delhi
T0023,C003,Aditya Sharma,2026-01-22,Clothing,T-Shirt,2,50,100,UPI,Delhi
T0024,C003,Aditya Sharma,2026-05-05,Home,Bottle,3,75,225,UPI,Delhi
T0025,C004,Rahul Sharma,2026-02-07,Beauty,Shampoo,5,500,2500,Debit Card,Bengaluru
T0026,C004,Rahul Sharma,2026-02-02,Home,Bottle,4,300,1200,Cash,Bengaluru
T0027,C004,Rahul Sharma,2026-04-12,Beauty,Shampoo,1,200,200,Cash,Bengaluru
